Player,Nation,Pos,Squad,Comp,Age,Min,MP,Gls,Ast,G+A,G-PK,PK,xG,xAG,npxG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,CrdY,CrdR,over_xG,cluster,cluster_label,market_value_eur_M,GA_pred_lr,GA_pred_rf,xG_diff
Vinicius Meyer 134,POL,DF,Tottenham,Premier League,23,1358,32,1,3,4,1,0,1.04,0.96,1.04,2.0,10,112,57,0.07,0.2,0.07,6,0,0,2,Defensor Ofensivo,33.8,4.11,3.68,-0.04
Erling Silva 135,BRA,FW,Tottenham,Premier League,23,170,5,12,9,21,10,2,1.23,1.51,0.0,1.51,196,102,206,6.35,4.76,0.65,1,0,1,0,Delantero Goleador,122.3,13.27,18.87,10.77
Kylian González 136,ENG,MF,Newcastle,Premier League,28,1691,19,6,4,10,6,0,5.13,5.35,5.13,10.48,136,145,130,0.32,0.21,0.27,4,0,1,0,Delantero Goleador,40.4,12.39,9.88,0.87
Pedri Weber 137,COL,MF,Newcastle,Premier League,23,2230,30,5,10,15,5,0,2.57,6.3,2.57,8.87,83,65,47,0.2,0.4,0.1,5,0,1,0,Delantero Goleador,105.5,9.08,14.76,2.43
Gavi Santos 138,NGR,MF,Newcastle,Premier League,28,427,21,3,8,11,3,0,0.37,6.0,0.37,6.37,105,210,67,0.63,1.69,0.08,3,0,1,1,Mediocampista Creativo,81.6,9.45,10.77,2.63
Bukayo Pérez 139,POR,MF,Newcastle,Premier League,25,748,10,4,7,11,4,0,2.51,4.23,2.51,6.74,45,62,152,0.48,0.84,0.3,3,0,1,0,Delantero Goleador,61.0,6.49,10.2,1.49
Phil López 141,NGR,MF,Newcastle,Premier League,27,1788,33,6,10,16,6,0,3.99,0.28,3.99,4.27,88,138,122,0.3,0.5,0.2,3,0,1,1,Mediocampista Creativo,99.8,8.92,13.73,2.01
Harry Wagner 142,ARG,DF,Newcastle,Premier League,32,799,16,4,2,6,4,0,2.02,0.18,2.02,2.2,52,27,38,0.45,0.23,0.23,2,0,1,2,Defensor Ofensivo,48.3,6.03,5.94,1.98
Son Garcia 143,BEL,MF,Newcastle,Premier League,29,1538,31,3,7,10,3,0,14.81,8.49,14.81,23.3,93,91,133,0.18,0.41,0.87,3,0,0,0,Delantero Goleador,46.5,13.25,10.95,-11.81
Kevin Becker 145,GER,DF,Newcastle,Premier League,17,909,21,1,2,3,1,0,6.48,0.57,6.48,7.05,31,149,40,0.1,0.2,0.64,3,0,0,2,Defensor Ofensivo,19.3,6.62,4.64,-5.48
Luca Martinez 147,POR,MF,Newcastle,Premier League,25,658,13,4,7,11,4,0,0.87,15.13,0.87,16.0,130,183,116,0.55,0.96,0.12,3,0,1,1,Mediocampista Creativo,89.6,12.18,10.93,3.13
Marco Fischer 148,ARG,DF,Newcastle,Premier League,25,313,7,3,2,5,3,0,4.19,4.04,4.19,8.23,58,78,40,0.86,0.58,1.2,2,0,0,2,Defensor Ofensivo,40.2,7.53,6.11,-1.19
James Rossi 149,POL,MF,Newcastle,Premier League,26,218,8,3,8,11,3,0,5.92,6.06,5.92,11.98,148,51,69,1.24,3.3,2.44,3,0,0,0,Delantero Goleador,53.6,12.74,11.92,-2.92
Carlos Rodríguez 150,URU,MF,Newcastle,Premier League,29,921,14,7,8,15,7,0,0.23,4.2,0.23,4.43,124,66,124,0.68,0.78,0.02,4,0,1,0,Delantero Goleador,71.9,9.86,14.93,6.77
Luis Schneider 151,NGR,DF,Newcastle,Premier League,26,1024,25,2,1,3,2,0,1.45,1.65,1.45,3.1,77,62,45,0.18,0.09,0.13,0,0,1,2,Defensor Ofensivo,35.5,7.48,3.84,0.55
Antoine Dupont 152,CRO,FW,Newcastle,Premier League,23,1892,28,16,3,19,16,0,2.87,1.88,2.87,4.75,64,53,126,0.76,0.14,0.14,3,0,1,0,Delantero Goleador,200.0,7.45,14.26,13.13
Kai Hernández 153,MAR,FW,Newcastle,Premier League,24,395,7,9,3,12,8,1,11.77,12.68,11.01,23.69,188,108,143,2.05,0.68,2.68,1,0,0,0,Delantero Goleador,126.5,17.55,12.85,-2.77
Jude Meyer 154,URU,MF,Newcastle,Premier League,29,854,20,5,5,10,5,0,0.31,2.24,0.31,2.55,88,286,141,0.53,0.53,0.03,1,0,1,1,Mediocampista Creativo,32.4,8.31,10.14,4.69
Vinicius Silva 155,MAR,MF,Newcastle,Premier League,26,640,16,7,2,9,7,0,4.71,3.06,4.71,7.77,69,150,150,0.98,0.28,0.66,4,0,1,2,Defensor Ofensivo,117.8,8.34,9.35,2.29
Pedri Santos 158,SEN,MF,Newcastle,Premier League,24,970,16,2,6,8,2,0,1.75,2.67,1.75,4.42,87,177,151,0.19,0.56,0.16,2,0,1,1,Mediocampista Creativo,35.4,8.49,8.94,0.25
Gavi Pérez 159,URU,MF,Aston Villa,Premier League,26,932,26,9,9,18,9,0,1.91,12.33,1.91,14.24,61,155,54,0.87,0.87,0.18,3,0,1,1,Mediocampista Creativo,85.7,8.59,14.61,7.09
Bukayo Smith 160,NGR,MF,Aston Villa,Premier League,21,686,21,4,8,12,4,0,0.27,10.91,0.27,11.18,98,96,155,0.52,1.05,0.04,2,0,1,0,Delantero Goleador,100.9,9.57,13.72,3.73
Trent López 161,ENG,MF,Aston Villa,Premier League,30,782,18,2,6,8,2,0,0.15,13.08,0.15,13.23,104,65,57,0.23,0.69,0.02,4,0,1,0,Delantero Goleador,47.4,10.11,11.44,1.85
Phil Wagner 162,CRO,FW,Aston Villa,Premier League,19,1000,31,6,3,9,5,1,2.26,1.72,1.5,3.22,75,104,67,0.54,0.27,0.2,0,0,1,2,Defensor Ofensivo,54.3,7.72,7.18,3.74
Harry Garcia 163,ENG,DF,Aston Villa,Premier League,27,547,11,1,1,2,1,0,1.27,2.95,1.27,4.22,36,74,38,0.16,0.16,0.21,2,0,0,2,Defensor Ofensivo,11.1,5.48,2.94,-0.27
Son Fernández 164,ARG,MF,Aston Villa,Premier League,30,1011,15,2,6,8,2,0,0.19,5.34,0.19,5.53,104,214,61,0.18,0.53,0.02,1,0,1,1,Mediocampista Creativo,33.3,9.4,8.51,1.81
Bruno Becker 165,URU,DF,Aston Villa,Premier League,23,1019,14,2,2,4,2,0,0.84,0.72,0.84,1.56,26,115,25,0.18,0.18,0.07,0,0,1,2,Defensor Ofensivo,21.9,4.74,4.1,1.16
Kevin Müller 166,SEN,MF,Aston Villa,Premier League,22,540,14,2,3,5,2,0,8.81,14.41,8.81,23.22,78,193,169,0.33,0.5,1.47,3,0,0,1,Mediocampista Creativo,44.8,11.7,7.09,-6.81
Robert Martinez 167,ARG,MF,Aston Villa,Premier League,23,1154,26,2,5,7,2,0,0.11,4.87,0.11,4.98,127,225,59,0.16,0.39,0.01,6,0,1,1,Mediocampista Creativo,59.0,10.52,7.82,1.89
Luca Fischer 168,NGR,MF,Aston Villa,Premier League,19,1011,30,9,0,9,9,0,1.27,1.23,1.27,2.5,97,198,143,0.8,0.0,0.11,1,0,1,1,Mediocampista Creativo,127.7,8.71,8.95,7.73
Marco Rossi 169,COL,DF,Aston Villa,Premier League,30,1336,18,3,3,6,3,0,0.0,2.24,0.0,2.24,26,102,63,0.2,0.2,0.0,9,0,1,2,Defensor Ofensivo,34.4,4.77,4.94,3.0
James Rodríguez 170,POR,DF,Aston Villa,Premier League,31,1620,30,2,1,3,2,0,1.67,2.06,1.67,3.73,38,131,60,0.11,0.06,0.09,3,0,1,2,Defensor Ofensivo,39.2,5.96,3.96,0.33
Carlos Schneider 171,URU,DF,Aston Villa,Premier League,17,777,15,1,2,3,1,0,1.2,1.33,1.2,2.53,35,62,37,0.12,0.23,0.14,4,0,0,2,Defensor Ofensivo,19.5,5.2,3.27,-0.2
Antoine Hernández 173,POR,MF,Aston Villa,Premier League,25,1188,18,9,7,16,9,0,0.73,0.32,0.73,1.05,121,66,132,0.68,0.53,0.06,2,0,1,0,Delantero Goleador,123.7,9.34,15.85,8.27
Kai Meyer 174,CRO,MF,Aston Villa,Premier League,32,1521,21,5,4,9,5,0,3.22,4.52,3.22,7.74,102,238,74,0.3,0.24,0.19,2,0,1,1,Mediocampista Creativo,85.6,10.21,9.37,1.78
Jude Silva 175,ARG,MF,Aston Villa,Premier League,23,2015,31,5,7,12,5,0,17.61,1.97,17.61,19.58,35,119,83,0.22,0.31,0.79,5,0,0,1,Mediocampista Creativo,184.1,10.35,11.89,-12.61
Vinicius González 176,POL,FW,Aston Villa,Premier League,23,569,19,9,5,14,9,0,14.48,3.64,14.48,18.12,166,25,84,1.42,0.79,2.29,0,0,0,0,Delantero Goleador,110.1,15.72,14.17,-5.48
Erling Weber 177,SEN,MF,Aston Villa,Premier League,24,450,17,4,4,8,4,0,0.21,2.54,0.21,2.75,106,142,106,0.8,0.8,0.04,3,0,1,1,Mediocampista Creativo,69.1,8.78,9.99,3.79
Kylian Santos 178,MAR,FW,Brighton,Premier League,28,722,29,10,4,14,10,0,1.68,0.61,1.68,2.29,193,97,180,1.25,0.5,0.21,1,0,1,0,Delantero Goleador,75.9,13.23,14.76,8.32
Pedri Pérez 179,MAR,DF,Brighton,Premier League,26,1032,24,0,3,3,0,0,1.01,0.33,1.01,1.34,29,137,75,0.0,0.26,0.09,1,0,0,2,Defensor Ofensivo,21.5,4.94,3.45,-1.01
Gavi Smith 180,GER,DF,Brighton,Premier League,28,1518,26,1,2,3,1,0,0.61,2.36,0.61,2.97,69,52,28,0.06,0.12,0.04,1,0,1,2,Defensor Ofensivo,36.6,7.04,3.04,0.39
Bukayo López 181,MAR,MF,Brighton,Premier League,24,496,10,3,6,9,3,0,5.25,6.03,5.25,11.28,125,207,116,0.54,1.09,0.95,2,0,0,1,Mediocampista Creativo,81.1,11.84,9.07,-2.25
Phil Garcia 183,CRO,MF,Brighton,Premier League,23,90,6,3,3,6,3,0,0.13,6.27,0.13,6.4,145,174,127,3.0,3.0,0.13,2,0,1,1,Mediocampista Creativo,58.1,11.26,7.6,2.87
Harry Fernández 184,NED,MF,Brighton,Premier League,24,974,20,2,7,9,2,0,5.14,7.41,5.14,12.55,145,67,127,0.18,0.65,0.47,1,0,0,0,Delantero Goleador,85.6,12.79,9.65,-3.14
Son Becker 185,COL,DF,Brighton,Premier League,31,1149,21,2,3,5,2,0,2.0,0.42,2.0,2.42,17,86,72,0.16,0.23,0.16,3,0,0,2,Defensor Ofensivo,33.8,4.53,4.06,0.0
Bruno Müller 186,MAR,DF,Brighton,Premier League,34,2126,32,1,4,5,1,0,0.21,2.0,0.21,2.21,22,141,79,0.04,0.17,0.01,1,0,1,2,Defensor Ofensivo,33.5,4.88,4.95,0.79
Kevin Martinez 187,POR,FW,Brighton,Premier League,26,864,28,14,4,18,14,0,1.04,1.29,1.04,2.33,119,102,101,1.46,0.42,0.11,2,0,1,0,Delantero Goleador,95.4,9.48,16.12,12.96
Robert Fischer 188,ENG,MF,Brighton,Premier League,26,1474,28,1,1,2,1,0,0.35,5.74,0.35,6.09,132,271,98,0.06,0.06,0.02,3,0,1,1,Mediocampista Creativo,43.1,11.16,4.99,0.65
Luca Rossi 189,POR,MF,Brighton,Premier League,17,477,7,5,9,14,5,0,7.3,5.56,7.3,12.86,90,208,134,0.94,1.7,1.38,2,0,0,1,Mediocampista Creativo,47.1,10.59,12.49,-2.3
Marco Rodríguez 190,ITA,DF,Brighton,Premier League,24,845,19,2,0,2,2,0,1.18,6.7,1.18,7.88,71,98,40,0.21,0.0,0.13,1,0,1,2,Defensor Ofensivo,25.0,7.9,3.06,0.82
James Schneider 191,ESP,MF,Brighton,Premier League,28,1792,28,6,6,12,6,0,0.01,2.36,0.01,2.37,66,281,105,0.3,0.3,0.0,4,0,1,1,Mediocampista Creativo,105.7,7.35,10.68,5.99
Carlos Dupont 192,ARG,DF,Brighton,Premier League,21,1863,33,1,2,3,1,0,0.4,2.5,0.4,2.9,65,132,22,0.05,0.1,0.02,7,0,1,2,Defensor Ofensivo,11.0,7.08,3.58,0.6
Luis Hernández 193,GER,MF,Brighton,Premier League,30,624,14,4,2,6,4,0,2.07,1.34,2.07,3.41,80,247,167,0.58,0.29,0.3,3,0,1,1,Mediocampista Creativo,37.9,8.13,7.38,1.93
Antoine Meyer 194,CRO,DF,Brighton,Premier League,27,1485,33,1,4,5,1,0,1.9,0.6,1.9,2.5,66,54,10,0.06,0.24,0.12,1,0,0,2,Defensor Ofensivo,21.8,6.99,4.88,-0.9
Kai Silva 195,MAR,DF,Brighton,Premier League,25,1796,33,5,1,6,5,0,0.71,0.9,0.71,1.61,25,90,28,0.25,0.05,0.04,3,0,1,2,Defensor Ofensivo,48.8,4.8,5.49,4.29
Jude González 196,GER,MF,Brighton,Premier League,25,544,17,4,5,9,4,0,15.91,2.4,15.91,18.31,107,206,74,0.66,0.83,2.63,1,0,0,1,Mediocampista Creativo,153.4,13.42,8.9,-11.91
Vinicius Weber 197,MAR,FW,Brighton,Premier League,23,630,22,11,9,20,10,1,24.32,3.97,23.56,27.53,71,34,121,1.57,1.29,3.47,1,0,0,0,Delantero Goleador,200.0,13.81,18.61,-13.32
Erling Santos 198,BEL,MF,West Ham,Premier League,24,493,9,2,3,5,2,0,1.47,13.02,1.47,14.49,146,99,151,0.37,0.55,0.27,3,0,1,0,Delantero Goleador,71.8,12.59,7.72,0.53
Kylian Pérez 199,NGR,DF,West Ham,Premier League,25,205,9,1,0,1,1,0,1.05,1.57,1.05,2.62,56,126,18,0.44,0.0,0.46,3,0,0,2,Defensor Ofensivo,25.9,6.27,2.26,-0.05
Pedri Smith 200,NGR,FW,West Ham,Premier League,23,168,6,11,11,22,11,0,0.47,2.31,0.47,2.78,183,77,216,5.89,5.89,0.25,1,0,1,0,Delantero Goleador,100.3,12.46,19.99,10.53
Gavi López 201,SEN,DF,West Ham,Premier League,17,2310,30,0,4,4,0,0,3.42,1.34,3.42,4.76,22,97,35,0.0,0.16,0.13,1,1,0,2,Defensor Ofensivo,24.2,5.62,4.72,-3.42
Bukayo Wagner 202,MAR,MF,West Ham,Premier League,26,998,24,7,5,12,7,0,3.51,1.16,3.51,4.67,82,156,140,0.63,0.45,0.32,3,0,1,1,Mediocampista Creativo,98.5,8.47,11.17,3.49
Trent Garcia 203,ENG,DF,West Ham,Premier League,30,300,10,5,2,7,5,0,0.15,1.37,0.15,1.52,19,141,26,1.5,0.6,0.04,4,0,1,2,Defensor Ofensivo,48.2,4.19,5.09,4.85
Phil Fernández 204,POR,MF,West Ham,Premier League,22,974,33,2,9,11,2,0,0.29,11.19,0.29,11.48,116,184,176,0.18,0.83,0.03,1,0,1,1,Mediocampista Creativo,53.9,10.81,10.18,1.71
Harry Becker 205,ARG,MF,West Ham,Premier League,28,663,22,3,7,10,3,0,7.04,2.37,7.04,9.41,135,75,64,0.41,0.95,0.96,0,0,0,0,Delantero Goleador,115.2,12.02,11.04,-4.04
Son Müller 206,ITA,MF,West Ham,Premier League,24,341,5,4,6,10,4,0,3.67,6.03,3.67,9.7,97,91,133,1.06,1.58,0.97,4,0,1,0,Delantero Goleador,116.6,9.67,11.43,0.33
Bruno Martinez 207,MAR,DF,West Ham,Premier League,28,1288,26,0,1,1,0,0,2.09,4.26,2.09,6.35,37,101,11,0.0,0.07,0.15,3,0,0,2,Defensor Ofensivo,27.8,6.2,1.89,-2.09
Kevin Fischer 208,ITA,FW,West Ham,Premier League,28,616,17,8,4,12,6,2,3.55,2.84,2.03,4.87,190,35,127,1.17,0.58,0.52,1,0,1,0,Delantero Goleador,137.0,13.76,12.91,4.45
Robert Rossi 209,BEL,FW,West Ham,Premier League,27,1859,26,21,5,26,21,0,2.18,4.44,2.18,6.62,140,70,133,1.02,0.24,0.11,0,0,1,0,Delantero Goleador,178.5,11.48,20.8,18.82
Luca Rodríguez 210,ARG,DF,West Ham,Premier League,30,308,7,2,2,4,2,0,0.42,0.62,0.42,1.04,78,117,10,0.58,0.58,0.12,2,0,1,2,Defensor Ofensivo,42.6,7.06,4.34,1.58
James Dupont 212,CRO,DF,West Ham,Premier League,25,408,6,3,3,6,3,0,0.13,3.58,0.13,3.71,58,95,64,0.66,0.66,0.03,3,0,1,2,Defensor Ofensivo,49.2,6.38,5.08,2.87
Carlos Hernández 213,BRA,MF,West Ham,Premier League,27,1362,19,6,1,7,6,0,1.89,8.59,1.89,10.48,84,59,81,0.4,0.07,0.12,1,0,1,2,Defensor Ofensivo,58.1,9.05,10.18,4.11
Luis Meyer 214,NGR,DF,West Ham,Premier League,26,1082,25,1,2,3,1,0,0.04,2.75,0.04,2.79,42,97,71,0.08,0.17,0.0,5,0,1,2,Defensor Ofensivo,36.4,5.59,4.38,0.96
Antoine Silva 215,ARG,MF,West Ham,Premier League,27,1048,24,6,5,11,6,0,0.31,0.61,0.31,0.92,127,262,151,0.52,0.43,0.03,3,0,1,1,Mediocampista Creativo,123.9,10.02,10.78,5.69
Kai González 216,NED,DF,Real Madrid,La Liga,26,840,21,2,2,4,2,0,0.28,6.83,0.28,7.11,78,48,77,0.21,0.21,0.03,6,0,1,2,Defensor Ofensivo,23.6,7.89,3.9,1.72
Jude Weber 217,FRA,FW,Real Madrid,La Liga,28,2164,28,13,4,17,12,1,1.85,0.9,1.09,1.99,125,37,171,0.54,0.17,0.08,0,0,1,0,Delantero Goleador,200.0,10.1,16.65,11.15
Vinicius Santos 218,COL,DF,Real Madrid,La Liga,25,581,13,2,3,5,2,0,0.58,1.34,0.58,1.92,31,42,57,0.31,0.46,0.09,1,0,1,2,Defensor Ofensivo,26.1,4.73,4.28,1.42
Erling Pérez 219,GER,FW,Real Madrid,La Liga,22,885,16,10,4,14,9,1,17.07,2.16,16.31,18.47,158,53,104,1.02,0.41,1.74,0,0,0,0,Delantero Goleador,187.7,15.97,15.02,-7.07
Kylian Smith 220,COL,FW,Real Madrid,La Liga,22,1375,33,11,3,14,10,1,4.77,5.48,4.01,9.49,60,43,63,0.72,0.2,0.31,0,0,1,0,Delantero Goleador,135.6,8.17,12.54,6.23
Pedri López 221,ESP,MF,Real Madrid,La Liga,27,482,17,3,3,6,3,0,4.73,7.27,4.73,12.0,140,156,106,0.56,0.56,0.88,5,0,0,1,Mediocampista Creativo,95.2,12.5,7.04,-1.73
Gavi Wagner 222,ARG,DF,Real Madrid,La Liga,33,273,7,2,2,4,2,0,0.4,1.22,0.4,1.62,75,89,50,0.66,0.66,0.13,1,0,1,2,Defensor Ofensivo,31.0,6.91,3.68,1.6
Bukayo Garcia 223,CRO,FW,Real Madrid,La Liga,18,695,15,11,4,15,10,1,13.02,1.39,12.26,13.65,153,24,77,1.42,0.52,1.69,0,0,0,0,Delantero Goleador,108.6,14.35,14.95,-2.02
Trent Fernández 224,ARG,FW,Real Madrid,La Liga,24,452,10,10,5,15,10,0,3.41,4.37,3.41,7.78,193,26,106,1.99,1.0,0.68,3,0,1,0,Delantero Goleador,200.0,14.03,15.21,6.59
Phil Becker 225,MAR,FW,Real Madrid,La Liga,25,511,7,11,5,16,11,0,4.05,7.88,4.05,11.93,108,28,61,1.94,0.88,0.71,1,0,1,0,Delantero Goleador,200.0,10.48,15.62,6.95
Harry Müller 226,BRA,FW,Real Madrid,La Liga,24,1050,18,8,5,13,8,0,5.53,0.36,5.53,5.89,194,57,149,0.69,0.43,0.47,2,0,1,0,Delantero Goleador,92.7,14.31,13.38,2.47
Son Martinez 227,NED,FW,Real Madrid,La Liga,17,1506,25,14,5,19,14,0,1.88,0.92,1.88,2.8,125,90,210,0.84,0.3,0.11,1,0,1,0,Delantero Goleador,200.0,10.09,16.85,12.12
Bruno Fischer 228,ITA,DF,Real Madrid,La Liga,19,1564,32,3,2,5,3,0,1.45,0.15,1.45,1.6,51,144,76,0.17,0.12,0.08,2,0,1,2,Defensor Ofensivo,48.2,6.29,5.31,1.55
Kevin Rossi 229,FRA,MF,Real Madrid,La Liga,24,1090,28,1,5,6,1,0,3.88,0.25,3.88,4.13,106,242,63,0.08,0.41,0.32,4,0,0,1,Mediocampista Creativo,32.3,9.88,7.96,-2.88
Robert Rodríguez 230,CRO,MF,Real Madrid,La Liga,22,558,15,4,7,11,4,0,13.81,3.02,13.81,16.83,65,81,67,0.65,1.13,2.23,1,0,0,0,Delantero Goleador,83.7,10.51,12.46,-9.81
Luca Schneider 231,NED,DF,Real Madrid,La Liga,30,297,5,1,0,1,1,0,0.27,4.63,0.27,4.9,62,41,75,0.3,0.0,0.08,3,0,1,2,Defensor Ofensivo,29.2,6.61,2.21,0.73
Marco Dupont 232,URU,DF,Real Madrid,La Liga,21,1048,20,2,1,3,2,0,2.28,4.34,2.28,6.62,25,48,16,0.17,0.09,0.2,1,0,0,2,Defensor Ofensivo,27.9,5.47,3.57,-0.28
James Hernández 233,NGR,DF,Real Madrid,La Liga,23,813,17,2,0,2,2,0,0.27,0.77,0.27,1.04,15,139,51,0.22,0.0,0.03,2,0,1,2,Defensor Ofensivo,16.6,4.05,2.56,1.73
Carlos Meyer 234,GER,FW,Real Madrid,La Liga,25,587,10,7,8,15,7,0,3.2,0.47,3.2,3.67,68,22,89,1.07,1.23,0.49,1,0,1,0,Delantero Goleador,200.0,7.15,12.2,3.8
Luis Silva 235,URU,FW,Real Madrid,La Liga,26,565,13,10,6,16,9,1,4.04,3.44,3.28,6.72,180,22,85,1.59,0.96,0.64,1,0,1,0,Delantero Goleador,200.0,13.44,15.5,5.96
Antoine González 236,ITA,MF,Real Madrid,La Liga,21,543,12,3,7,10,3,0,4.68,14.55,4.68,19.23,125,75,66,0.5,1.16,0.78,1,0,0,0,Delantero Goleador,97.0,12.62,9.47,-1.68
Kai Weber 237,POR,MF,Real Madrid,La Liga,24,1069,19,4,7,11,4,0,1.78,27.18,1.78,28.96,55,225,169,0.34,0.59,0.15,5,0,1,1,Mediocampista Creativo,53.6,10.65,11.59,2.22
Jude Santos 238,POL,FW,Real Madrid,La Liga,21,550,16,15,4,19,14,1,0.47,2.84,0.0,2.84,192,32,110,2.45,0.65,0.08,0,0,1,0,Delantero Goleador,159.5,12.97,17.1,14.53
Vinicius Pérez 239,BEL,DF,Barcelona,La Liga,17,490,11,1,2,3,1,0,0.8,0.19,0.8,0.99,50,149,46,0.18,0.37,0.15,4,0,1,2,Defensor Ofensivo,18.6,5.82,3.54,0.2
Erling Smith 240,BRA,FW,Barcelona,La Liga,22,772,23,11,1,12,10,1,9.02,10.32,8.26,18.58,77,106,208,1.28,0.12,1.05,1,0,1,0,Delantero Goleador,200.0,10.95,11.94,1.98
Kylian López 241,NED,DF,Barcelona,La Liga,24,333,7,0,2,2,0,0,4.24,0.36,4.24,4.6,75,113,55,0.0,0.54,1.15,1,0,0,2,Defensor Ofensivo,10.8,7.94,3.37,-4.24
Gavi Garcia 243,SEN,DF,Barcelona,La Liga,23,98,7,2,2,4,2,0,1.48,0.53,1.48,2.01,56,143,62,1.84,1.84,1.36,4,0,1,2,Defensor Ofensivo,21.9,6.25,3.96,0.52
Bukayo Fernández 244,MAR,FW,Barcelona,La Liga,25,839,19,5,6,11,5,0,1.22,9.06,1.22,10.28,129,88,119,0.54,0.64,0.13,0,0,1,0,Delantero Goleador,156.7,11.14,10.94,3.78
Trent Becker 245,CRO,MF,Barcelona,La Liga,24,1508,29,7,8,15,7,0,1.63,0.56,1.63,2.19,103,137,124,0.42,0.48,0.1,3,0,1,0,Delantero Goleador,145.9,8.98,13.31,5.37
Phil Müller 246,CRO,MF,Barcelona,La Liga,22,1112,22,4,10,14,4,0,0.81,8.6,0.81,9.41,60,265,98,0.32,0.81,0.07,1,0,1,1,Mediocampista Creativo,42.4,8.0,12.35,3.19
Harry Martinez 247,POL,DF,Barcelona,La Liga,17,1794,26,0,0,0,0,0,3.69,1.22,3.69,4.91,73,91,29,0.0,0.0,0.19,2,0,0,2,Defensor Ofensivo,28.8,8.1,4.15,-3.69
Son Fischer 248,COL,FW,Barcelona,La Liga,18,1098,16,14,6,20,13,1,5.74,17.86,4.98,22.84,175,48,198,1.15,0.49,0.47,1,0,1,0,Delantero Goleador,200.0,15.98,18.09,8.26
Bruno Rossi 249,POL,DF,Barcelona,La Liga,26,584,11,0,2,2,0,0,2.71,0.3,2.71,3.01,59,88,13,0.0,0.31,0.42,3,0,0,2,Defensor Ofensivo,22.4,6.7,5.64,-2.71
Robert Schneider 251,FRA,DF,Barcelona,La Liga,31,535,18,0,0,0,0,0,0.16,0.4,0.16,0.56,49,66,33,0.0,0.0,0.03,2,0,0,2,Defensor Ofensivo,13.5,5.42,1.97,-0.16
Luca Dupont 252,ENG,MF,Barcelona,La Liga,29,751,14,2,5,7,2,0,1.83,2.34,1.83,4.17,86,86,46,0.24,0.6,0.22,2,0,1,2,Defensor Ofensivo,31.1,8.14,8.62,0.17
James Meyer 254,NGR,DF,Barcelona,La Liga,18,1056,27,3,2,5,3,0,0.93,0.34,0.93,1.27,36,123,72,0.26,0.17,0.08,0,0,1,2,Defensor Ofensivo,41.5,5.24,4.65,2.07
Carlos Silva 255,BRA,DF,Barcelona,La Liga,20,520,14,0,4,4,0,0,0.54,1.83,0.54,2.37,11,130,11,0.0,0.69,0.09,8,0,0,2,Defensor Ofensivo,21.4,3.99,3.71,-0.54
Luis González 256,COL,DF,Barcelona,La Liga,26,469,14,2,3,5,2,0,1.93,0.67,1.93,2.6,20,27,48,0.38,0.58,0.37,3,0,1,2,Defensor Ofensivo,34.7,4.4,4.85,0.07
Antoine Weber 257,URU,FW,Barcelona,La Liga,22,300,5,8,4,12,8,0,6.41,3.55,6.41,9.96,96,65,195,2.4,1.2,1.92,1,0,1,0,Delantero Goleador,64.6,9.95,12.26,1.59
Kai Santos 258,ARG,DF,Barcelona,La Liga,23,624,18,0,1,1,0,0,0.43,1.87,0.43,2.3,40,121,77,0.0,0.14,0.06,5,1,0,2,Defensor Ofensivo,10.4,5.42,1.82,-0.43
Jude Pérez 259,URU,MF,Atletico Madrid,La Liga,19,1360,30,4,7,11,4,0,1.65,13.71,1.65,15.36,141,63,130,0.26,0.46,0.11,3,0,1,0,Delantero Goleador,46.7,12.61,11.32,2.35
Erling López 261,ITA,MF,Atletico Madrid,La Liga,19,2175,31,3,5,8,3,0,0.54,1.86,0.54,2.4,77,189,135,0.12,0.21,0.02,4,0,1,1,Mediocampista Creativo,56.2,7.84,8.09,2.46
Kylian Wagner 262,ARG,FW,Atletico Madrid,La Liga,22,1694,30,16,5,21,16,0,6.79,1.41,6.79,8.2,47,39,137,0.85,0.27,0.36,2,0,1,0,Delantero Goleador,200.0,7.55,17.76,9.21
Pedri Garcia 263,GER,DF,Atletico Madrid,La Liga,29,1258,26,1,6,7,1,0,2.87,0.79,2.87,3.66,71,78,58,0.07,0.43,0.21,7,0,0,2,Defensor Ofensivo,20.6,7.55,6.25,-1.87
Gavi Fernández 264,SEN,MF,Atletico Madrid,La Liga,25,1716,22,2,9,11,2,0,0.15,5.37,0.15,5.52,97,277,62,0.1,0.47,0.01,3,0,1,1,Mediocampista Creativo,95.1,9.36,11.14,1.85
Bukayo Becker 265,POR,MF,Atletico Madrid,La Liga,20,569,11,3,2,5,3,0,7.21,2.27,7.21,9.48,106,278,80,0.47,0.32,1.14,1,0,0,1,Mediocampista Creativo,46.0,11.08,6.4,-4.21
Trent Müller 266,ITA,MF,Atletico Madrid,La Liga,26,516,8,7,3,10,7,0,1.34,4.04,1.34,5.38,139,142,92,1.22,0.52,0.23,3,0,1,0,Delantero Goleador,44.8,10.99,9.88,5.66
Phil Martinez 267,SEN,DF,Atletico Madrid,La Liga,24,2058,30,1,3,4,1,0,0.71,4.68,0.71,5.39,12,38,75,0.04,0.13,0.03,2,0,1,2,Defensor Ofensivo,12.5,4.64,3.99,0.29
