Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,market_value_eur_M
Kai Hernández 153,MAR,FW,Newcastle,Premier League,24,7,3,395,9,3,12,8,1,1,1,0,11.77,11.01,12.68,23.69,188,108,143,2.05,0.68,2.68,126.5
Jude Meyer 154,URU,MF,Newcastle,Premier League,29,20,11,854,5,5,10,5,0,0,1,0,0.31,0.31,2.24,2.55,88,286,141,0.53,0.53,0.03,32.4
Vinicius Silva 155,MAR,MF,Newcastle,Premier League,26,16,6,640,7,2,9,7,0,0,4,0,4.71,4.71,3.06,7.77,69,150,150,0.98,0.28,0.66,117.8
Erling González 156,GER,GK,Newcastle,Premier League,21,10,0,150,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,7,0.0,0.0,0.0,7.6
Kylian Weber 157,ENG,GK,Newcastle,Premier League,26,9,5,471,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,9,0.0,0.0,0.0,11.8
Pedri Santos 158,SEN,MF,Newcastle,Premier League,24,16,14,970,2,6,8,2,0,0,2,0,1.75,1.75,2.67,4.42,87,177,151,0.19,0.56,0.16,35.4
Gavi Pérez 159,URU,MF,Aston Villa,Premier League,26,26,7,932,9,9,18,9,0,0,3,0,1.91,1.91,12.33,14.24,61,155,54,0.87,0.87,0.18,85.7
Bukayo Smith 160,NGR,MF,Aston Villa,Premier League,21,21,8,686,4,8,12,4,0,0,2,0,0.27,0.27,10.91,11.18,98,96,155,0.52,1.05,0.04,100.9
Trent López 161,ENG,MF,Aston Villa,Premier League,30,18,8,782,2,6,8,2,0,0,4,0,0.15,0.15,13.08,13.23,104,65,57,0.23,0.69,0.02,47.4
Phil Wagner 162,CRO,FW,Aston Villa,Premier League,19,31,14,1000,6,3,9,5,1,1,0,0,2.26,1.5,1.72,3.22,75,104,67,0.54,0.27,0.2,54.3
Harry Garcia 163,ENG,DF,Aston Villa,Premier League,27,11,3,547,1,1,2,1,0,1,2,0,1.27,1.27,2.95,4.22,36,74,38,0.16,0.16,0.21,11.1
Son Fernández 164,ARG,MF,Aston Villa,Premier League,30,15,13,1011,2,6,8,2,0,0,1,0,0.19,0.19,5.34,5.53,104,214,61,0.18,0.53,0.02,33.3
Bruno Becker 165,URU,DF,Aston Villa,Premier League,23,14,13,1019,2,2,4,2,0,0,0,0,0.84,0.84,0.72,1.56,26,115,25,0.18,0.18,0.07,21.9
Kevin Müller 166,SEN,MF,Aston Villa,Premier League,22,14,6,540,2,3,5,2,0,0,3,0,8.81,8.81,14.41,23.22,78,193,169,0.33,0.5,1.47,44.8
Robert Martinez 167,ARG,MF,Aston Villa,Premier League,23,26,9,1154,2,5,7,2,0,0,6,0,0.11,0.11,4.87,4.98,127,225,59,0.16,0.39,0.01,59.0
Luca Fischer 168,NGR,MF,Aston Villa,Premier League,19,30,11,1011,9,0,9,9,0,1,1,0,1.27,1.27,1.23,2.5,97,198,143,0.8,0.0,0.11,127.7
Marco Rossi 169,COL,DF,Aston Villa,Premier League,30,18,14,1336,3,3,6,3,0,1,9,0,0.0,0.0,2.24,2.24,26,102,63,0.2,0.2,0.0,34.4
James Rodríguez 170,POR,DF,Aston Villa,Premier League,31,30,15,1620,2,1,3,2,0,0,3,0,1.67,1.67,2.06,3.73,38,131,60,0.11,0.06,0.09,39.2
Carlos Schneider 171,URU,DF,Aston Villa,Premier League,17,15,12,777,1,2,3,1,0,0,4,0,1.2,1.2,1.33,2.53,35,62,37,0.12,0.23,0.14,19.5
Luis Dupont 172,COL,GK,Aston Villa,Premier League,33,18,5,911,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,9.6
Antoine Hernández 173,POR,MF,Aston Villa,Premier League,25,18,11,1188,9,7,16,9,0,0,2,0,0.73,0.73,0.32,1.05,121,66,132,0.68,0.53,0.06,123.7
Kai Meyer 174,CRO,MF,Aston Villa,Premier League,32,21,17,1521,5,4,9,5,0,1,2,0,3.22,3.22,4.52,7.74,102,238,74,0.3,0.24,0.19,85.6
Jude Silva 175,ARG,MF,Aston Villa,Premier League,23,31,26,2015,5,7,12,5,0,1,5,0,17.61,17.61,1.97,19.58,35,119,83,0.22,0.31,0.79,184.1
Vinicius González 176,POL,FW,Aston Villa,Premier League,23,19,1,569,9,5,14,9,0,1,0,0,14.48,14.48,3.64,18.12,166,25,84,1.42,0.79,2.29,110.1
Erling Weber 177,SEN,MF,Aston Villa,Premier League,24,17,4,450,4,4,8,4,0,0,3,0,0.21,0.21,2.54,2.75,106,142,106,0.8,0.8,0.04,69.1
Kylian Santos 178,MAR,FW,Brighton,Premier League,28,29,6,722,10,4,14,10,0,0,1,0,1.68,1.68,0.61,2.29,193,97,180,1.25,0.5,0.21,75.9
Pedri Pérez 179,MAR,DF,Brighton,Premier League,26,24,0,1032,0,3,3,0,0,0,1,0,1.01,1.01,0.33,1.34,29,137,75,0.0,0.26,0.09,21.5
Gavi Smith 180,GER,DF,Brighton,Premier League,28,26,12,1518,1,2,3,1,0,0,1,0,0.61,0.61,2.36,2.97,69,52,28,0.06,0.12,0.04,36.6
Bukayo López 181,MAR,MF,Brighton,Premier League,24,10,6,496,3,6,9,3,0,0,2,0,5.25,5.25,6.03,11.28,125,207,116,0.54,1.09,0.95,81.1
Trent Wagner 182,POL,GK,Brighton,Premier League,30,24,5,697,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,20,8,0.0,0.0,0.0,7.1
Phil Garcia 183,CRO,MF,Brighton,Premier League,23,6,0,90,3,3,6,3,0,0,2,0,0.13,0.13,6.27,6.4,145,174,127,3.0,3.0,0.13,58.1
Harry Fernández 184,NED,MF,Brighton,Premier League,24,20,18,974,2,7,9,2,0,0,1,0,5.14,5.14,7.41,12.55,145,67,127,0.18,0.65,0.47,85.6
Son Becker 185,COL,DF,Brighton,Premier League,31,21,15,1149,2,3,5,2,0,0,3,0,2.0,2.0,0.42,2.42,17,86,72,0.16,0.23,0.16,33.8
Bruno Müller 186,MAR,DF,Brighton,Premier League,34,32,22,2126,1,4,5,1,0,0,1,0,0.21,0.21,2.0,2.21,22,141,79,0.04,0.17,0.01,33.5
Kevin Martinez 187,POR,FW,Brighton,Premier League,26,28,8,864,14,4,18,14,0,0,2,0,1.04,1.04,1.29,2.33,119,102,101,1.46,0.42,0.11,95.4
Robert Fischer 188,ENG,MF,Brighton,Premier League,26,28,10,1474,1,1,2,1,0,0,3,0,0.35,0.35,5.74,6.09,132,271,98,0.06,0.06,0.02,43.1
Luca Rossi 189,POR,MF,Brighton,Premier League,17,7,5,477,5,9,14,5,0,0,2,0,7.3,7.3,5.56,12.86,90,208,134,0.94,1.7,1.38,47.1
Marco Rodríguez 190,ITA,DF,Brighton,Premier League,24,19,2,845,2,0,2,2,0,1,1,0,1.18,1.18,6.7,7.88,71,98,40,0.21,0.0,0.13,25.0
James Schneider 191,ESP,MF,Brighton,Premier League,28,28,28,1792,6,6,12,6,0,1,4,0,0.01,0.01,2.36,2.37,66,281,105,0.3,0.3,0.0,105.7
Carlos Dupont 192,ARG,DF,Brighton,Premier League,21,33,17,1863,1,2,3,1,0,1,7,0,0.4,0.4,2.5,2.9,65,132,22,0.05,0.1,0.02,11.0
Luis Hernández 193,GER,MF,Brighton,Premier League,30,14,6,624,4,2,6,4,0,0,3,0,2.07,2.07,1.34,3.41,80,247,167,0.58,0.29,0.3,37.9
Antoine Meyer 194,CRO,DF,Brighton,Premier League,27,33,33,1485,1,4,5,1,0,0,1,0,1.9,1.9,0.6,2.5,66,54,10,0.06,0.24,0.12,21.8
Kai Silva 195,MAR,DF,Brighton,Premier League,25,33,25,1796,5,1,6,5,0,0,3,0,0.71,0.71,0.9,1.61,25,90,28,0.25,0.05,0.04,48.8
Jude González 196,GER,MF,Brighton,Premier League,25,17,0,544,4,5,9,4,0,0,1,0,15.91,15.91,2.4,18.31,107,206,74,0.66,0.83,2.63,153.4
Vinicius Weber 197,MAR,FW,Brighton,Premier League,23,22,10,630,11,9,20,10,1,1,1,0,24.32,23.56,3.97,27.53,71,34,121,1.57,1.29,3.47,200.0
Erling Santos 198,BEL,MF,West Ham,Premier League,24,9,4,493,2,3,5,2,0,0,3,0,1.47,1.47,13.02,14.49,146,99,151,0.37,0.55,0.27,71.8
Kylian Pérez 199,NGR,DF,West Ham,Premier League,25,9,1,205,1,0,1,1,0,0,3,0,1.05,1.05,1.57,2.62,56,126,18,0.44,0.0,0.46,25.9
Pedri Smith 200,NGR,FW,West Ham,Premier League,23,6,0,168,11,11,22,11,0,0,1,0,0.47,0.47,2.31,2.78,183,77,216,5.89,5.89,0.25,100.3
Gavi López 201,SEN,DF,West Ham,Premier League,17,30,24,2310,0,4,4,0,0,0,1,1,3.42,3.42,1.34,4.76,22,97,35,0.0,0.16,0.13,24.2
Bukayo Wagner 202,MAR,MF,West Ham,Premier League,26,24,19,998,7,5,12,7,0,0,3,0,3.51,3.51,1.16,4.67,82,156,140,0.63,0.45,0.32,98.5
Trent Garcia 203,ENG,DF,West Ham,Premier League,30,10,0,300,5,2,7,5,0,1,4,0,0.15,0.15,1.37,1.52,19,141,26,1.5,0.6,0.04,48.2
Phil Fernández 204,POR,MF,West Ham,Premier League,22,33,10,974,2,9,11,2,0,0,1,0,0.29,0.29,11.19,11.48,116,184,176,0.18,0.83,0.03,53.9
Harry Becker 205,ARG,MF,West Ham,Premier League,28,22,5,663,3,7,10,3,0,1,0,0,7.04,7.04,2.37,9.41,135,75,64,0.41,0.95,0.96,115.2
Son Müller 206,ITA,MF,West Ham,Premier League,24,5,4,341,4,6,10,4,0,0,4,0,3.67,3.67,6.03,9.7,97,91,133,1.06,1.58,0.97,116.6
Bruno Martinez 207,MAR,DF,West Ham,Premier League,28,26,12,1288,0,1,1,0,0,1,3,0,2.09,2.09,4.26,6.35,37,101,11,0.0,0.07,0.15,27.8
Kevin Fischer 208,ITA,FW,West Ham,Premier League,28,17,8,616,8,4,12,6,2,3,1,0,3.55,2.03,2.84,4.87,190,35,127,1.17,0.58,0.52,137.0
Robert Rossi 209,BEL,FW,West Ham,Premier League,27,26,23,1859,21,5,26,21,0,0,0,0,2.18,2.18,4.44,6.62,140,70,133,1.02,0.24,0.11,178.5
Luca Rodríguez 210,ARG,DF,West Ham,Premier League,30,7,0,308,2,2,4,2,0,1,2,0,0.42,0.42,0.62,1.04,78,117,10,0.58,0.58,0.12,42.6
Marco Schneider 211,MAR,GK,West Ham,Premier League,24,10,6,448,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,16,8,0.0,0.0,0.0,5.6
James Dupont 212,CRO,DF,West Ham,Premier League,25,6,6,408,3,3,6,3,0,1,3,0,0.13,0.13,3.58,3.71,58,95,64,0.66,0.66,0.03,49.2
Carlos Hernández 213,BRA,MF,West Ham,Premier League,27,19,16,1362,6,1,7,6,0,0,1,0,1.89,1.89,8.59,10.48,84,59,81,0.4,0.07,0.12,58.1
Luis Meyer 214,NGR,DF,West Ham,Premier League,26,25,16,1082,1,2,3,1,0,0,5,0,0.04,0.04,2.75,2.79,42,97,71,0.08,0.17,0.0,36.4
Antoine Silva 215,ARG,MF,West Ham,Premier League,27,24,5,1048,6,5,11,6,0,0,3,0,0.31,0.31,0.61,0.92,127,262,151,0.52,0.43,0.03,123.9
Kai González 216,NED,DF,Real Madrid,La Liga,26,21,14,840,2,2,4,2,0,0,6,0,0.28,0.28,6.83,7.11,78,48,77,0.21,0.21,0.03,23.6
Jude Weber 217,FRA,FW,Real Madrid,La Liga,28,28,27,2164,13,4,17,12,1,1,0,0,1.85,1.09,0.9,1.99,125,37,171,0.54,0.17,0.08,200.0
Vinicius Santos 218,COL,DF,Real Madrid,La Liga,25,13,10,581,2,3,5,2,0,0,1,0,0.58,0.58,1.34,1.92,31,42,57,0.31,0.46,0.09,26.1
Erling Pérez 219,GER,FW,Real Madrid,La Liga,22,16,9,885,10,4,14,9,1,1,0,0,17.07,16.31,2.16,18.47,158,53,104,1.02,0.41,1.74,187.7
Kylian Smith 220,COL,FW,Real Madrid,La Liga,22,33,11,1375,11,3,14,10,1,1,0,0,4.77,4.01,5.48,9.49,60,43,63,0.72,0.2,0.31,135.6
Pedri López 221,ESP,MF,Real Madrid,La Liga,27,17,3,482,3,3,6,3,0,0,5,0,4.73,4.73,7.27,12.0,140,156,106,0.56,0.56,0.88,95.2
Gavi Wagner 222,ARG,DF,Real Madrid,La Liga,33,7,2,273,2,2,4,2,0,1,1,0,0.4,0.4,1.22,1.62,75,89,50,0.66,0.66,0.13,31.0
Bukayo Garcia 223,CRO,FW,Real Madrid,La Liga,18,15,5,695,11,4,15,10,1,1,0,0,13.02,12.26,1.39,13.65,153,24,77,1.42,0.52,1.69,108.6
Trent Fernández 224,ARG,FW,Real Madrid,La Liga,24,10,2,452,10,5,15,10,0,0,3,0,3.41,3.41,4.37,7.78,193,26,106,1.99,1.0,0.68,200.0
Phil Becker 225,MAR,FW,Real Madrid,La Liga,25,7,7,511,11,5,16,11,0,0,1,0,4.05,4.05,7.88,11.93,108,28,61,1.94,0.88,0.71,200.0
Harry Müller 226,BRA,FW,Real Madrid,La Liga,24,18,12,1050,8,5,13,8,0,0,2,0,5.53,5.53,0.36,5.89,194,57,149,0.69,0.43,0.47,92.7
Son Martinez 227,NED,FW,Real Madrid,La Liga,17,25,23,1506,14,5,19,14,0,1,1,0,1.88,1.88,0.92,2.8,125,90,210,0.84,0.3,0.11,200.0
Bruno Fischer 228,ITA,DF,Real Madrid,La Liga,19,32,27,1564,3,2,5,3,0,0,2,0,1.45,1.45,0.15,1.6,51,144,76,0.17,0.12,0.08,48.2
Kevin Rossi 229,FRA,MF,Real Madrid,La Liga,24,28,15,1090,1,5,6,1,0,1,4,0,3.88,3.88,0.25,4.13,106,242,63,0.08,0.41,0.32,32.3
Robert Rodríguez 230,CRO,MF,Real Madrid,La Liga,22,15,4,558,4,7,11,4,0,0,1,0,13.81,13.81,3.02,16.83,65,81,67,0.65,1.13,2.23,83.7
Luca Schneider 231,NED,DF,Real Madrid,La Liga,30,5,4,297,1,0,1,1,0,0,3,0,0.27,0.27,4.63,4.9,62,41,75,0.3,0.0,0.08,29.2
Marco Dupont 232,URU,DF,Real Madrid,La Liga,21,20,13,1048,2,1,3,2,0,0,1,0,2.28,2.28,4.34,6.62,25,48,16,0.17,0.09,0.2,27.9
James Hernández 233,NGR,DF,Real Madrid,La Liga,23,17,9,813,2,0,2,2,0,1,2,0,0.27,0.27,0.77,1.04,15,139,51,0.22,0.0,0.03,16.6
Carlos Meyer 234,GER,FW,Real Madrid,La Liga,25,10,9,587,7,8,15,7,0,0,1,0,3.2,3.2,0.47,3.67,68,22,89,1.07,1.23,0.49,200.0
Luis Silva 235,URU,FW,Real Madrid,La Liga,26,13,1,565,10,6,16,9,1,1,1,0,4.04,3.28,3.44,6.72,180,22,85,1.59,0.96,0.64,200.0
Antoine González 236,ITA,MF,Real Madrid,La Liga,21,12,3,543,3,7,10,3,0,0,1,0,4.68,4.68,14.55,19.23,125,75,66,0.5,1.16,0.78,97.0
Kai Weber 237,POR,MF,Real Madrid,La Liga,24,19,15,1069,4,7,11,4,0,0,5,0,1.78,1.78,27.18,28.96,55,225,169,0.34,0.59,0.15,53.6
Jude Santos 238,POL,FW,Real Madrid,La Liga,21,16,2,550,15,4,19,14,1,1,0,0,0.47,0.0,2.84,2.84,192,32,110,2.45,0.65,0.08,159.5
Vinicius Pérez 239,BEL,DF,Barcelona,La Liga,17,11,8,490,1,2,3,1,0,0,4,0,0.8,0.8,0.19,0.99,50,149,46,0.18,0.37,0.15,18.6
Erling Smith 240,BRA,FW,Barcelona,La Liga,22,23,1,772,11,1,12,10,1,1,1,0,9.02,8.26,10.32,18.58,77,106,208,1.28,0.12,1.05,200.0
Kylian López 241,NED,DF,Barcelona,La Liga,24,7,3,333,0,2,2,0,0,1,1,0,4.24,4.24,0.36,4.6,75,113,55,0.0,0.54,1.15,10.8
Pedri Wagner 242,POR,GK,Barcelona,La Liga,26,30,4,1136,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,28,3,0.0,0.0,0.0,10.0
Gavi Garcia 243,SEN,DF,Barcelona,La Liga,23,7,0,98,2,2,4,2,0,0,4,0,1.48,1.48,0.53,2.01,56,143,62,1.84,1.84,1.36,21.9
Bukayo Fernández 244,MAR,FW,Barcelona,La Liga,25,19,11,839,5,6,11,5,0,0,0,0,1.22,1.22,9.06,10.28,129,88,119,0.54,0.64,0.13,156.7
Trent Becker 245,CRO,MF,Barcelona,La Liga,24,29,20,1508,7,8,15,7,0,1,3,0,1.63,1.63,0.56,2.19,103,137,124,0.42,0.48,0.1,145.9
Phil Müller 246,CRO,MF,Barcelona,La Liga,22,22,10,1112,4,10,14,4,0,0,1,0,0.81,0.81,8.6,9.41,60,265,98,0.32,0.81,0.07,42.4
Harry Martinez 247,POL,DF,Barcelona,La Liga,17,26,26,1794,0,0,0,0,0,0,2,0,3.69,3.69,1.22,4.91,73,91,29,0.0,0.0,0.19,28.8
Son Fischer 248,COL,FW,Barcelona,La Liga,18,16,14,1098,14,6,20,13,1,1,1,0,5.74,4.98,17.86,22.84,175,48,198,1.15,0.49,0.47,200.0
Bruno Rossi 249,POL,DF,Barcelona,La Liga,26,11,7,584,0,2,2,0,0,1,3,0,2.71,2.71,0.3,3.01,59,88,13,0.0,0.31,0.42,22.4
Kevin Rodríguez 250,COL,GK,Barcelona,La Liga,26,26,13,884,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,1,0.0,0.0,0.0,15.6
Robert Schneider 251,FRA,DF,Barcelona,La Liga,31,18,5,535,0,0,0,0,0,0,2,0,0.16,0.16,0.4,0.56,49,66,33,0.0,0.0,0.03,13.5
Luca Dupont 252,ENG,MF,Barcelona,La Liga,29,14,11,751,2,5,7,2,0,0,2,0,1.83,1.83,2.34,4.17,86,86,46,0.24,0.6,0.22,31.1
Marco Hernández 253,CRO,GK,Barcelona,La Liga,22,16,15,1051,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,4,0.0,0.0,0.0,14.1
James Meyer 254,NGR,DF,Barcelona,La Liga,18,27,6,1056,3,2,5,3,0,0,0,0,0.93,0.93,0.34,1.27,36,123,72,0.26,0.17,0.08,41.5
Carlos Silva 255,BRA,DF,Barcelona,La Liga,20,14,2,520,0,4,4,0,0,0,8,0,0.54,0.54,1.83,2.37,11,130,11,0.0,0.69,0.09,21.4
Luis González 256,COL,DF,Barcelona,La Liga,26,14,1,469,2,3,5,2,0,0,3,0,1.93,1.93,0.67,2.6,20,27,48,0.38,0.58,0.37,34.7
Antoine Weber 257,URU,FW,Barcelona,La Liga,22,5,5,300,8,4,12,8,0,0,1,0,6.41,6.41,3.55,9.96,96,65,195,2.4,1.2,1.92,64.6
Kai Santos 258,ARG,DF,Barcelona,La Liga,23,18,6,624,0,1,1,0,0,0,5,1,0.43,0.43,1.87,2.3,40,121,77,0.0,0.14,0.06,10.4
Jude Pérez 259,URU,MF,Atletico Madrid,La Liga,19,30,7,1360,4,7,11,4,0,0,3,0,1.65,1.65,13.71,15.36,141,63,130,0.26,0.46,0.11,46.7
Vinicius Smith 260,BEL,GK,Atletico Madrid,La Liga,24,10,2,426,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,29,7,0.0,0.0,0.0,8.0
Erling López 261,ITA,MF,Atletico Madrid,La Liga,19,31,29,2175,3,5,8,3,0,0,4,0,0.54,0.54,1.86,2.4,77,189,135,0.12,0.21,0.02,56.2
Kylian Wagner 262,ARG,FW,Atletico Madrid,La Liga,22,30,19,1694,16,5,21,16,0,0,2,0,6.79,6.79,1.41,8.2,47,39,137,0.85,0.27,0.36,200.0
Pedri Garcia 263,GER,DF,Atletico Madrid,La Liga,29,26,22,1258,1,6,7,1,0,0,7,0,2.87,2.87,0.79,3.66,71,78,58,0.07,0.43,0.21,20.6
Gavi Fernández 264,SEN,MF,Atletico Madrid,La Liga,25,22,19,1716,2,9,11,2,0,0,3,0,0.15,0.15,5.37,5.52,97,277,62,0.1,0.47,0.01,95.1
Bukayo Becker 265,POR,MF,Atletico Madrid,La Liga,20,11,8,569,3,2,5,3,0,0,1,0,7.21,7.21,2.27,9.48,106,278,80,0.47,0.32,1.14,46.0
Trent Müller 266,ITA,MF,Atletico Madrid,La Liga,26,8,5,516,7,3,10,7,0,0,3,0,1.34,1.34,4.04,5.38,139,142,92,1.22,0.52,0.23,44.8
Phil Martinez 267,SEN,DF,Atletico Madrid,La Liga,24,30,22,2058,1,3,4,1,0,0,2,0,0.71,0.71,4.68,5.39,12,38,75,0.04,0.13,0.03,12.5
Harry Fischer 268,NED,FW,Atletico Madrid,La Liga,18,19,18,1376,8,7,15,8,0,1,1,0,1.12,1.12,0.62,1.74,139,107,102,0.52,0.46,0.07,147.8
Son Rossi 269,NED,DF,Atletico Madrid,La Liga,24,33,14,1303,1,2,3,1,0,0,2,0,2.56,2.56,0.34,2.9,47,30,21,0.07,0.14,0.18,28.7
Bruno Rodríguez 270,ESP,FW,Atletico Madrid,La Liga,22,32,1,826,13,7,20,13,0,0,0,0,18.02,18.02,1.74,19.76,127,21,163,1.42,0.76,1.96,200.0
Kevin Schneider 271,ARG,MF,Atletico Madrid,La Liga,26,5,2,182,6,4,10,6,0,1,3,0,7.83,7.83,5.02,12.85,53,231,65,2.97,1.98,3.87,97.5
Robert Dupont 272,NGR,DF,Atletico Madrid,La Liga,21,14,10,952,1,1,2,1,0,1,0,0,1.91,1.91,0.8,2.71,11,100,39,0.09,0.09,0.18,21.9
Luca Hernández 273,ESP,FW,Atletico Madrid,La Liga,28,13,3,319,10,2,12,9,1,1,1,0,1.5,0.74,5.5,6.24,46,99,75,2.82,0.56,0.42,111.9
Marco Meyer 274,COL,FW,Atletico Madrid,La Liga,25,15,8,663,6,5,11,5,1,1,2,0,14.04,13.28,4.59,17.87,164,29,124,0.81,0.68,1.91,171.0
James Silva 275,ESP,MF,Atletico Madrid,La Liga,25,13,5,534,2,7,9,2,0,0,3,0,0.48,0.48,10.2,10.68,91,257,90,0.34,1.18,0.08,59.4
Carlos González 276,CRO,MF,Atletico Madrid,La Liga,23,27,8,1422,4,5,9,4,0,0,6,0,0.24,0.24,0.59,0.83,71,273,138,0.25,0.32,0.02,80.3
Luis Weber 277,ENG,MF,Atletico Madrid,La Liga,19,9,0,306,7,6,13,7,0,0,5,0,10.94,10.94,2.26,13.2,48,288,162,2.06,1.76,3.22,161.0
Antoine Santos 278,ENG,MF,Sevilla,La Liga,30,29,7,737,3,7,10,3,0,0,3,1,3.87,3.87,2.08,5.95,101,108,80,0.37,0.85,0.47,36.8
Kai Pérez 279,NED,MF,Sevilla,La Liga,20,14,14,770,2,8,10,2,0,0,1,0,1.54,1.54,2.74,4.28,92,68,175,0.23,0.94,0.18,90.5
Jude Smith 280,SEN,MF,Sevilla,La Liga,27,15,3,477,6,10,16,6,0,0,5,0,0.22,0.22,2.95,3.17,106,235,67,1.13,1.89,0.04,128.0
Vinicius López 281,URU,MF,Sevilla,La Liga,25,19,15,944,3,10,13,3,0,1,1,0,4.7,4.7,11.66,16.36,74,111,54,0.29,0.95,0.45,91.9
Erling Wagner 282,GER,DF,Sevilla,La Liga,19,28,24,1556,2,1,3,2,0,0,3,0,3.15,3.15,0.07,3.22,17,35,57,0.12,0.06,0.18,27.4
Kylian Garcia 283,NED,MF,Sevilla,La Liga,20,11,0,396,4,4,8,4,0,0,2,0,0.73,0.73,4.67,5.4,52,72,48,0.91,0.91,0.17,49.9
Pedri Fernández 284,POL,MF,Sevilla,La Liga,23,16,13,750,0,2,2,0,0,0,5,0,4.04,4.04,3.03,7.07,104,189,133,0.0,0.24,0.48,33.0
Gavi Becker 285,BRA,FW,Sevilla,La Liga,25,21,7,539,8,6,14,8,0,0,1,0,0.14,0.14,1.5,1.64,53,112,211,1.34,1.0,0.02,138.3
Bukayo Müller 286,MAR,MF,Sevilla,La Liga,23,14,12,566,6,4,10,6,0,0,1,0,1.48,1.48,0.45,1.93,89,122,91,0.95,0.64,0.24,62.6
Trent Martinez 287,ITA,DF,Sevilla,La Liga,26,21,5,756,0,2,2,0,0,0,1,0,0.1,0.1,0.05,0.15,19,29,48,0.0,0.24,0.01,11.6
Phil Fischer 288,ARG,FW,Sevilla,La Liga,28,17,7,926,14,3,17,14,0,0,0,0,26.12,26.12,1.49,27.61,129,91,129,1.36,0.29,2.54,164.4
Harry Rossi 289,NED,MF,Sevilla,La Liga,33,30,2,1334,2,7,9,2,0,0,3,0,1.32,1.32,8.59,9.91,108,127,146,0.13,0.47,0.09,62.6
Son Rodríguez 290,ENG,MF,Sevilla,La Liga,22,18,12,1170,3,7,10,3,0,0,4,0,2.66,2.66,3.25,5.91,96,160,41,0.23,0.54,0.2,99.5
Bruno Schneider 291,MAR,DF,Sevilla,La Liga,27,23,14,980,1,1,2,1,0,1,3,0,4.08,4.08,0.37,4.45,40,42,57,0.09,0.09,0.37,11.5
Kevin Dupont 292,ESP,FW,Sevilla,La Liga,23,17,8,805,11,5,16,9,2,2,2,0,1.39,0.0,5.36,5.36,53,77,202,1.23,0.56,0.16,169.0
Robert Hernández 293,SEN,FW,Sevilla,La Liga,24,33,0,1023,11,8,19,11,0,0,2,0,12.29,12.29,0.37,12.66,130,97,187,0.97,0.7,1.08,200.0
Luca Meyer 294,FRA,MF,Sevilla,La Liga,31,30,12,1620,9,11,20,9,0,0,3,0,1.19,1.19,6.26,7.45,79,245,76,0.5,0.61,0.07,55.0
Marco Silva 295,POL,MF,Sevilla,La Liga,33,28,8,948,3,5,8,3,0,0,4,0,7.91,7.91,14.25,22.16,82,110,85,0.28,0.47,0.75,108.1
James González 296,POL,MF,Sevilla,La Liga,24,26,20,1956,1,9,10,1,0,0,4,0,3.11,3.11,9.47,12.58,46,217,124,0.05,0.41,0.14,75.0
Carlos Weber 297,ESP,GK,Sevilla,La Liga,19,7,5,341,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,6,8,0.0,0.0,0.0,11.4
Luis Santos 298,URU,FW,Sevilla,La Liga,25,11,11,957,12,4,16,12,0,0,1,0,2.2,2.2,4.98,7.18,97,107,116,1.13,0.38,0.21,166.4
Antoine Pérez 299,ENG,DF,Sevilla,La Liga,25,33,31,1722,1,2,3,1,0,0,4,0,0.16,0.16,0.67,0.83,56,42,27,0.05,0.1,0.01,9.9
Kai Smith 300,POR,FW,Athletic Club,La Liga,24,22,0,264,7,4,11,7,0,0,1,0,37.07,37.07,14.57,51.64,186,65,81,2.39,1.36,12.64,200.0
Jude López 301,ARG,MF,Athletic Club,La Liga,32,5,4,211,1,5,6,1,0,0,8,0,0.4,0.4,0.28,0.68,78,205,126,0.43,2.13,0.17,30.8
Vinicius Wagner 302,URU,MF,Athletic Club,La Liga,26,9,0,387,5,9,14,5,0,0,4,0,5.11,5.11,5.36,10.47,45,265,117,1.16,2.09,1.19,137.7
Erling Garcia 303,NGR,MF,Athletic Club,La Liga,17,25,6,707,3,5,8,3,0,0,3,0,7.08,7.08,6.09,13.17,80,131,47,0.38,0.64,0.9,104.7
Kylian Fernández 304,CRO,MF,Athletic Club,La Liga,27,27,11,1133,3,9,12,3,0,0,4,0,1.86,1.86,6.37,8.23,38,250,66,0.24,0.71,0.15,108.9
Pedri Becker 305,SEN,FW,Athletic Club,La Liga,23,22,0,374,8,5,13,6,2,3,1,0,8.82,7.3,1.85,9.15,174,97,122,1.93,1.2,2.12,200.0
